benchmark,solver,wallclock time,result
parallel_new/non-incremental/LRA/smt-comp-051.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-051.smt2,parallelpar,26.673,UNSATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-051.smt2,vampireparallel,39.492,UNSATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-052.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-052.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-052.smt2,vampireparallel,39.354,UNSATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-053.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-053.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-053.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-054.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-054.smt2,parallelpar,1898.119,UNSATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-054.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-055.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-055.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-055.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-056.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-056.smt2,parallelpar,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-056.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/LRA/smt-comp-241.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/LRA/smt-comp-241.smt2,parallelpar,0.082,UNSATISFIABLE
parallel_new/non-incremental/LRA/smt-comp-241.smt2,vampireparallel,39.209,UNSATISFIABLE
